Category,Question,Option A,Option B,Option C,Option D,Answer
History,What ship sank in 1912?,A. Titanic,B. Lusitania,C. Bismarck,D. Queen Mary,A
History,Who invented the printing press?,A. Thomas Edison,B. Johannes Gutenberg,C. Leonardo da Vinci,D. Alexander Bell,B
History,Which ancient city was buried by Mount Vesuvius?,A. Athens,B. Carthage,C. Pompeii,D. Rome,C
History,When did India become independent?,A. 1950,B. 1942,C. 1947,D. 1935,C
History,Who was the first US president to resign?,A. Andrew Johnson,B. Donald Trump,C. Richard Nixon,D. Bill Clinton,C
History,What was the Renaissance?,A. A religion,B. A treaty,C. A cultural movement,D. A war,C
History,Who painted the Mona Lisa?,A. Leonardo da Vinci,B. Michelangelo,C. Van Gogh,D. Picasso,A
History,Which war was fought between North and South US?,A. Cold War,B. Vietnam War,C. Civil War,D. World War I,C
History,Who founded the Mongol Empire?,A. Attila,B. Genghis Khan,C. Kublai Khan,D. Alexander,B
Geography,What is the capital of France?,A. Paris,B. London,C. Rome,D. Berlin,A
Geography,Which is the largest continent?,A. Africa,B. Europe,C. Asia,D. North America,C
Geography,Which ocean is the largest?,A. Pacific,B. Indian,C. Atlantic,D. Arctic,A
Geography,What is the longest river in the world?,A. Nile,B. Yangtze,C. Mississippi,D. Amazon,A
Geography,Which is the highest mountain?,A. Makalu,B. Mount Everest,C. Kangchenjunga,D. K2,B
Geography,What country is the Great Barrier Reef in?,A. South Africa,B. USA,C. India,D. Australia,D
Geography,Which desert is the largest?,A. Gobi,B. Kalahari,C. Sahara,D. Thar,C
Geography,Which line divides Earth into North and South?,A. Tropic of Capricorn,B. Tropic of Cancer,C. Equator,D. Prime Meridian,C
Geography,Which is the coldest continent?,A. Antarctica,B. Europe,C. Asia,D. Australia,A
Geography,What is the capital of Japan?,A. Tokyo,B. Bangkok,C. Beijing,D. Seoul,A
Geography,Which ocean is on India’s east coast?,A. Indian Ocean,B. Bay of Bengal,C. Red Sea,D. Arabian Sea,B
Geography,Which country is shaped like a boot?,A. Italy,B. Spain,C. Portugal,D. Greece,A
Geography,Which US state is the largest?,A. California,B. Alaska,C. Montana,D. Texas,B
Geography,Which country has the most people?,A. USA,B. China,C. Indonesia,D. India,B
Geography,What is the capital of Canada?,A. Vancouver,B. Ottawa,C. Toronto,D. Montreal,B
Geography,Which river flows through Egypt?,A. Amazon,B. Ganges,C. Thames,D. Nile,D
Geography,Which continent is Nigeria in?,A. Africa,B. Australia,C. Asia,D. Europe,A
Geography,Which sea separates Europe and Africa?,A. Red,B. Caspian,C. Mediterranean,D. Black,C
Geography,What is the capital of Russia?,A. Tbilisi,B. Moscow,C. Kiev,D. St. Petersburg,B
Geography,Which city is known as the Big Apple?,A. Chicago,B. San Francisco,C. Los Angeles,D. New York,D
